Title,Artist,Type
...Baby One More Time,Britney Spears,Happy!
(Everything I Do) I Do It For You,Bryan Adams,Power Ballad!
(Ghost) Riders in the Sky,Johnny Cash,Banger!
(I Can't Get No) Satisfaction,The Rolling Stones,Rock!
(I've Had) The Time Of My Life,Dirty Dancing,Happy!
(Sittin' On) The Dock Of The Bay,Otis Redding,Banger!
(They Long To Be) Close To You,The Carpenters,Banger!
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Power Ballad!
(You're The) Devil In Disguise,Elvis Presley,Banger!
4 Non Blondes,What's Up,Happy!
9 To 5,Dolly Parton,Banger!
A Day In The Life,The Beatles,Banger!
A thousand miles,Vanessa Carlton,Power Ballad!
A Thousand Years,Christina Perri,Happy!
A Whole New World,Aladdin,Power Ballad!
ABBA,Waterloo,Banger!
ABC,The Jackson 5,Banger!
Achy Breaky Heart,Billy Ray Cyrus,Happy!
Africa,Toto,Banger!
Ain't No Mountain High Enough,Marvin Gaye and Tami Terrell,Happy!
Ain't No Sunshine,Bill Withers,Banger!
Ain't Nobody,Chaka Khan,Banger!
Ain't Nobody's Business,Billie Holiday,Banger!
Ain't That A Kick In The Head,Dean Martin,Banger!
All About That Bass,Meghan Trainor,Happy!
All By Myself,Céline Dion,Banger!
All I Have To Do Is Dream,The Everly Brothers,Banger!
All I Want For Christmas Is You,Mariah Carey,Banger!
All My Loving,The Beatles,Banger!
All Night Long,Lionel Richie,Banger!
All Of Me,John Legend,Power Ballad!
All Of The Lights,Kanye West,Happy!
All That Jazz,Chicago (The Movie),Banger!
Alone,Heart,Banger!
Always on my mind,Elvis,Banger!
Always On My Mind,Willie Nelson,Banger!
American Pie,Don McLean,Banger!
American Trilogy,Elvis Presley,Banger!
Angels,Robbie Williams,Happy!
Annie's Song,John Denver,Banger!
Another Brick In The Wall Part 2,Pink Floyd,Rock!
Another Day In Paradise,Phil Collins,Banger!
Anywhere Is,Enya,Power Ballad!
At Last,Etta James,Power Ballad!
Autumn Leaves,Nat King Cole,Banger!
Baby,Justin Bieber,Happy!
Baby Can I Hold You,Tracy Chapman,Banger!
Baby I Love You,Aretha Franklin,Banger!
"Baby, It's Cold Outside",Dean Martin,Banger!
Back In Black,AC/DC,Rock!
Back To Black,Amy Winehouse,Happy!
Bad Moon Rising,Creedence Clearwater Revival,Rock!
Barbie Girl,Aqua,Happy!
Because Of You,Kelly Clarkson,Banger!
